,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
33,Canada,CAN,0.969766786666667,1.01306251583333,1.06876922408333,1.07851434416667,1.07859841916667,1.07798428416667,1.07734156666667,1.07871042416667,1.07747140083333,1.0767805125,1.04421874416667,1.00981054416667,0.990662555833333,1.00009014,0.9780175255833331,1.01715926333333,0.986028304083333,1.06344161083333,1.14065917075,1.17142449583333,1.16922686666667,1.19890312083333,1.23373491166667,1.2324118274166698,1.29506561083333,1.3655073916666698,1.38947105916667,1.32598258166667,1.23070084666667,1.18397208416667,1.16677362666667,1.14572584416667,1.20872292,1.29008788166667,1.3656734475,1.3724454183333301,1.3635216358333302,1.3845980283333301,1.48350530166667,1.4857048191666697,1.485394095,1.548839955,1.5703428341666699,1.4010145475,1.301281595,1.21140513416667,1.13434472583333,1.07404562166667,1.06708691833333,1.1415354059127,1.03011273517598,0.989258158636364,0.999364743593074,1.03013736373016,1.10474713237886,1.27878620362554,1.3256151637481999,1.2979358464603898,1.2958179281353401,1.32679336266012,
35,Switzerland,CHE,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.133854168312021,3.8192499989999997,3.1648333324166695,2.979249999,2.58128333241667,2.49964166575,2.4035249993333303,1.7880249992500001,1.66272499908333,1.67570833258333,1.96424166591667,2.03027499908333,2.09914166575,2.34968333283333,2.457125,1.7989166665,1.4911916666666698,1.4633,1.635925,1.3891583333333302,1.4339916666666699,1.4062183333333302,1.47761666666667,1.3676925,1.18246916666667,1.23601,1.4513125,1.4498133083333302,1.502155,1.6888425,1.687615,1.5586075000000001,1.3466508333333302,1.24349583333333,1.24517666666667,1.25384333333333,1.20036583333333,1.0830899999999999,1.08814169630268,1.0429056457335202,0.8880420282232809,0.9376844807093491,0.9269035477582851,0.916151047283613,0.9623813280043539,0.985394394244834,0.984691666666667,0.977883333333333,0.993775,
38,China,CHN,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.46180889882528,2.24506644860066,1.98941552463247,1.9611070888763702,1.85982338938658,1.94141535102099,1.85782338223957,1.68358941885647,1.5549389540148602,1.49838605814132,1.70454166583333,1.89254166583333,1.9756749991666698,2.32004166625,2.93665833325,3.4527916665833303,3.7221,3.7221,3.76510833333333,4.78320833333333,5.323391666666669,5.51459166666667,5.76195833333333,8.61874266666667,8.35141666666667,8.314175,8.28981666666667,8.27895833333333,8.27825,8.27850416666667,8.27706833333333,8.2769575,8.27703666666667,8.276800833333331,8.19431666666667,7.9734383333333305,7.6075325,6.9486550000000005,6.83141605176666,6.770269028709401,6.46146132655007,6.31233282683186,6.195758346082309,6.143434094488669,6.22748867298455,6.644477829446799,6.75875508633597,6.61595717735439,6.90838500992901,
107,India,IND,4.761900003761901,4.761900003761901,4.761900003761901,4.761900003761901,4.761900003761901,4.761900003761901,6.35912500535912,7.5000000065,7.5000000065,7.5000000065,7.5000000065,7.491935230968241,7.594468373949361,7.74203856214968,8.1016032272183,8.37589194565386,8.96041272812392,8.738576171314572,8.19284034840393,8.12579094635689,7.86294470113798,8.65852281709317,9.45513193348639,10.098898244046099,11.3625833326667,12.3687499995833,12.610833333250001,12.9615,13.917083333333302,16.2255,17.5035,22.742433333333302,25.9180833333333,30.4932916666667,31.3737425,32.4270766666667,35.43317333333329,36.313285833333296,41.259365,43.0554283333333,44.941604999999996,47.1864141666667,48.6103191666667,46.5832841666667,45.3164666666667,44.099975,45.3070083333333,41.3485333333333,43.5051833333333,48.4052666666667,45.7258121212121,46.6704666666667,53.4372333333333,58.5978454166667,61.02951446078429,64.1519444632786,67.1953128073894,65.121568645066,68.3894670935421,70.42034053595509,
117,Japan,JPN,360.000000359,360.000000359,360.000000359,360.000000359,360.000000359,360.000000359,360.000000359,360.000000359,360.000000359,360.000000359,360.000000359,350.67769353336195,303.172499999,271.701666666083,292.08249999925,296.787499999167,296.55249999916697,268.509999999333,210.44166666599997,219.139999999333,226.74083333283298,220.53583333275,249.07666666583302,237.511666666083,237.522499999333,238.53583333275,168.519833333083,144.6375,128.151666666667,137.964416666667,144.7925,134.706666666667,126.651333333333,111.197785833333,102.207805833333,94.0595791666667,108.779056666667,120.9908625,130.90530066666702,113.906805,107.765498333333,121.52894750000002,125.38801916666701,115.93346416666701,108.192569166667,110.218211666667,116.29931166666701,117.75352916666701,103.359493968254,93.5700890870457,87.779875,79.80701983218921,79.7904554170065,97.59565827763849,105.944781034025,121.044025684011,108.79290004683399,112.16614108187099,110.42317934106,109.009665900863,
