PACIFIC Exchange Rate Service
MMM YYYY	CNY/USD
Apr 2015	6.2020
May 2015	6.2035
Jun 2015	6.2059
Jul 2015	6.2088
Aug 2015	6.3456
Sep 2015	6.3687
Oct 2015	6.3508
Nov 2015	6.3713
Dec 2015	6.4514
Jan 2016	6.5744
Feb 2016	6.5517
Mar 2016	6.5038
Apr 2016	6.4771
May 2016	6.5294
Jun 2016	6.5920
Jul 2016	6.6795
Aug 2016	6.6484
Sep 2016	6.6717
Oct 2016	6.7327
Nov 2016	6.8464
Dec 2016	6.9219
"(C) 2019 Prof. Werner Antweiler, UBC"
