PACIFIC Exchange Rate Service
MMM YYYY	AUD/USD
Apr 2013	0.96352
May 2013	1.00959
Jun 2013	1.05977
Jul 2013	1.09293
Aug 2013	1.10613
Sep 2013	1.07510
Oct 2013	1.05077
Nov 2013	1.07411
Dec 2013	1.11314
Jan 2014	1.12953
Feb 2014	1.11455
Mar 2014	1.10046
Apr 2014	1.07378
May 2014	1.07539
Jun 2014	1.06789
Jul 2014	1.06588
Aug 2014	1.07444
Sep 2014	1.10670
Oct 2014	1.13898
Nov 2014	1.15779
Dec 2014	1.21153
Jan 2015	1.23951
Feb 2015	1.28273
Mar 2015	1.29505
Apr 2015	1.29174
May 2015	1.26908
Jun 2015	1.29633
Jul 2015	1.35155
Aug 2015	1.37094
Sep 2015	1.41700
Oct 2015	1.38918
Nov 2015	1.39883
Dec 2015	1.38023
Jan 2016	1.42816
Feb 2016	1.40180
Mar 2016	1.33313
Apr 2016	1.30503
May 2016	1.36716
Jun 2016	1.35151
Jul 2016	1.32798
Aug 2016	1.31043
Sep 2016	1.31759
Oct 2016	1.31340
Nov 2016	1.32921
Dec 2016	1.36038
"(C) 2019 Prof. Werner Antweiler, UBC"
