Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lithuania,LTU,..,0.451556,0.451919,0.452656,0.443347,0.442622,0.445737,0.438483,0.441871,0.45091,0.454781,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Luxembourg,LUX,0.967754,0.955495,0.905099,0.90679,0.895254,0.884138,0.881025,0.85198,0.844442,0.845814,0.844757,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Macao SAR, China",MAC,2.77467076637471,3.62918500876432,4.43978691101074,4.56529092788696,4.64387083053589,4.86066198348999,5.13702344894409,5.11785411834717,5.15491628646851,5.21394488247781,5.25704198180458,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Madagascar,MDG,83.5030915387968,306.668845895751,694.862670898438,742.898193359375,777.658813476563,823.956115722656,886.09130859375,941.010864257813,1013.43463134766,1065.14461839397,1102.13898249254,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malawi,MWI,1.46211075352803,17.941320776096,78.769287109375,94.3312454223633,114.541244506836,146.203704833984,186.614883422852,221.197341918945,251.074234008789,261.644963992706,278.160686819811,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malaysia,MYS,0.968653348287849,1.18994121923454,1.46613442897797,1.45363140106201,1.47225975990295,1.50547206401825,1.56763064861298,1.59425818920135,1.65478694438934,1.62814818482406,1.60151379839139,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Maldives,MDV,..,3.19054034948661,7.86162567138672,8.15415573120117,8.24644565582275,8.1737174987793,8.27791118621826,8.12886047363281,8.16077995300293,8.39241320094214,8.426108648143,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mali,MLI,129.099743251802,169.356442510822,216.09016418457,225.378707885742,219.312393188477,218.682708740234,218.57096862793,211.356674194336,214.508682250977,213.937300305409,215.317142273462,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malta,MLT,0.570296754296027,0.57983707566598,0.574147955988908,0.579727134394067,0.577477133046715,0.58636002149382,0.599541439362903,0.58670342494951,0.580244516558381,0.585854643705139,0.575610344203991,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Marshall Islands,MHL,0.830691844803971,0.917809484400341,0.938595164408269,0.989515917156476,0.962370584607811,0.938134380515554,0.913224800358914,0.968782830522812,0.969784332059184,0.950350968483317,..,..
